I,N,n,error,lmbd,phi,Strategy,Measuring system
20.795652497209126,10000,5,0.38433167971887744,0.8,0.7853981633974483,reg,False
55.9707054316666,10000,10,1.0192505363409867,0.8,0.7853981633974483,reg,False
129.26642584677438,10000,20,2.309362684225347,0.8,0.7853981633974483,reg,False
202.94957691882348,10000,30,3.307323900921249,0.8,0.7853981633974483,reg,False
273.5605988021037,15000,40,3.551377339770942,0.8,0.7853981633974483,reg,False
350.609687003667,20000,50,3.884732466813787,0.8,0.7853981633974483,reg,False
