n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
100000,0.8,0.7853981633974483,0.1,2.25,0.19716716716716717,0.04216965034285822,0.009399187491251218,0.010076340343385299,0.009403609348035975,200,63,4,41,5,3,0,26,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,3
100000,0.8,0.7853981633974483,0.1,2.25,0.20303303303303302,0.04216965034285822,0.012400881775308813,0.01358624118868642,0.012240779197987734,269,71,3,52,9,5,2,26,1,0,1,2,0,2,3,1,0,0,0,1,0,3,2,0,0,2,0,6
100000,0.8,0.7853981633974483,0.1,2.25,0.1979079079079079,0.04216965034285822,0.009755947650566723,0.010061715756529878,0.008687004592120323,178,67,3,20,7,4,2,22,1,0,0,0,2,2,1,0,0,0,0,0,0,5,0,0,0,0,0,7
100000,0.8,0.7853981633974483,0.1,2.25,0.20029029029029027,0.04216965034285822,0.01094720807333257,0.011129310596975635,0.010193337038228733,252,71,2,37,3,6,0,17,3,2,0,0,1,0,7,0,0,1,0,0,0,0,1,1,0,1,1,3
100000,0.8,0.7853981633974483,0.1,2.25,0.19822822822822822,0.04216965034285822,0.00991222994238043,0.010690572991312996,0.010047091169674519,230,58,2,44,6,8,0,22,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,1,1,5
100000,0.8,0.7853981633974483,0.1,2.25,0.1981081081081081,0.04216965034285822,0.009853482188441233,0.00965222732457808,0.009154991371493811,205,57,1,41,6,6,1,16,0,0,0,0,1,1,3,1,0,0,0,1,0,3,0,0,0,1,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.19814814814814816,0.04216965034285822,0.009873045859141541,0.008906373394951593,0.00843838661557816,206,63,4,34,5,4,2,17,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,0,0
100000,0.8,0.7853981633974483,0.1,2.25,0.20101101101101101,0.04216965034285822,0.011320705688923563,0.009827722366843136,0.008687004592120325,217,53,2,39,6,1,2,14,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,2,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.1942842842842843,0.04216965034285822,0.008072691280602628,0.008145894878469683,0.007531662230542017,145,47,1,30,6,0,0,20,0,2,0,0,0,1,2,0,0,1,0,0,0,3,2,0,0,2,1,4
100000,0.8,0.7853981633974483,0.1,2.25,0.20201201201201202,0.04216965034285822,0.011849506367924251,0.01270876597736114,0.011465676094650398,257,77,3,42,10,7,0,22,0,1,0,0,0,4,4,2,0,0,0,1,0,3,2,0,0,1,1,3
100000,0.8,0.7853981633974483,0.1,2.25,0.20073073073073072,0.04216965034285822,0.011174735238919183,0.011568048202638275,0.010705197578168483,211,77,2,47,12,4,0,23,0,1,1,0,0,1,2,0,1,0,0,0,0,2,1,0,0,2,1,5
100000,0.8,0.7853981633974483,0.1,2.25,0.1990890890890891,0.04216965034285822,0.010338231411248766,0.009520606042879288,0.009096493024072125,204,54,1,41,8,6,1,15,2,0,1,1,2,1,3,1,1,0,0,0,0,0,1,1,1,1,0,3
100000,0.8,0.7853981633974483,0.1,2.25,0.19752752752752753,0.04216965034285822,0.009571936155115843,0.008994120916084121,0.008379888268156475,176,62,2,42,6,4,0,21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
100000,0.8,0.7853981633974483,0.1,2.25,0.19584584584584586,0.04216965034285822,0.008778941926467863,0.008789376700108221,0.008321389920734787,203,45,1,45,6,7,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.20299299299299298,0.04216965034285822,0.012379031564150043,0.012533270935096083,0.01137792857351787,235,71,4,41,6,8,1,25,1,0,0,0,1,2,6,0,0,0,0,0,0,3,2,2,0,0,0,8
100000,0.8,0.7853981633974483,0.1,2.25,0.20155155155155155,0.04216965034285822,0.011604808534481587,0.01019333703822867,0.00975459943256609,202,73,3,43,6,7,0,21,1,1,1,0,2,0,4,0,0,0,0,0,1,0,0,1,0,1,0,2
100000,0.8,0.7853981633974483,0.1,2.25,0.20303303303303302,0.04216965034285822,0.012400881775308813,0.011787417005469595,0.011012313902132333,224,81,6,55,6,3,1,20,1,1,0,0,0,2,2,1,0,0,0,0,0,1,2,1,0,1,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.19564564564564565,0.04216965034285822,0.00868677390628597,0.0087747521132528,0.007736406446517928,152,58,2,31,6,9,0,19,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,4
100000,0.8,0.7853981633974483,0.1,2.25,0.20393393393393394,0.04216965034285822,0.01289741087427861,0.01183129076603586,0.010632074643891376,247,79,3,43,6,7,0,19,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,3,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.19932932932932934,0.04216965034285822,0.01045867191074562,0.010134838690806985,0.009681476498288983,217,52,1,43,5,4,0,27,1,0,0,0,0,3,4,3,0,0,0,0,0,2,0,1,0,1,0,2
100000,0.8,0.7853981633974483,0.1,2.25,0.20299299299299298,0.04216965034285822,0.012379031564150043,0.0133668723858551,0.011875164526602198,272,76,1,51,6,5,1,27,2,1,1,0,1,0,3,2,0,0,0,0,0,2,1,0,1,1,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.19666666666666666,0.04216965034285822,0.009161809457761941,0.009067243850361227,0.008102021117903466,164,64,2,42,7,2,0,13,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,1,1,0,2
100000,0.8,0.7853981633974483,0.1,2.25,0.19834834834834836,0.04216965034285822,0.00997114788171794,0.010690572991312996,0.010047091169674519,201,69,3,45,8,5,0,22,0,0,1,0,0,1,6,0,0,0,0,0,0,1,2,0,0,1,0,4
100000,0.8,0.7853981633974483,0.1,2.25,0.20371371371371372,0.04216965034285822,0.012775171649363948,0.013176752756734623,0.011758167831758827,276,81,4,49,3,4,0,23,4,0,1,0,1,0,1,1,0,0,1,0,0,3,1,0,0,0,0,8
100000,0.8,0.7853981633974483,0.1,2.25,0.19838838838838838,0.04216965034285822,0.009990825001295814,0.008920997981807014,0.007970399836204668,176,63,1,37,2,7,1,10,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,4
100000,0.8,0.7853981633974483,0.1,2.25,0.20053053053053052,0.04216965034285822,0.011071032566625253,0.011012313902132264,0.01006171575652994,205,76,2,41,4,5,0,28,1,2,0,0,0,2,2,1,1,0,0,0,0,2,0,1,0,0,0,3
100000,0.8,0.7853981633974483,0.1,2.25,0.19806806806806806,0.04216965034285822,0.00983393743524,0.009432858521746761,0.008906373394951646,200,54,1,41,2,2,0,22,0,1,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,1,0,6
100000,0.8,0.7853981633974483,0.1,2.25,0.19764764764764764,0.04216965034285822,0.009629860337073713,0.010807569686156366,0.009915469887975726,193,58,2,44,7,5,0,20,2,1,0,0,0,1,4,1,1,0,0,0,0,1,0,1,0,1,2,9
100000,0.8,0.7853981633974483,0.1,2.25,0.19772772772772773,0.04216965034285822,0.009668571201757094,0.008847875047529907,0.008233642399602257,193,55,3,31,8,1,0,18,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,5
100000,0.8,0.7853981633974483,0.1,2.25,0.19978978978978978,0.04216965034285822,0.010691410864591855,0.010383456667349147,0.009388984761180554,227,64,7,40,3,7,0,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,6
100000,0.8,0.7853981633974483,0.1,2.25,0.20077077077077077,0.04216965034285822,0.01119553198467724,0.011143935183831057,0.010398081254204633,241,67,3,53,4,4,0,14,0,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,9
100000,0.8,0.7853981633974483,0.1,2.25,0.20617617617617617,0.04216965034285822,0.014173755138686787,0.01390798209950569,0.012723390564216642,295,66,3,56,12,3,1,29,3,1,0,1,3,3,1,0,0,0,0,0,0,1,0,1,0,2,0,7
100000,0.8,0.7853981633974483,0.1,2.25,0.19872872872872874,0.04216965034285822,0.010158843281653451,0.009842346953698558,0.009520606042879345,191,57,5,38,5,4,0,13,0,1,0,1,0,2,5,0,1,0,0,0,0,1,2,0,1,3,0,11
