n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.125,2.5,0.19902902902902903,0.07498942093324558,0.03269027972991572,0.0326172228959112,0.028033029544880066,6960,2196,131,1354,239,167,17,729,54,42,23,12,36,26,68,21,19,18,3,2,4,26,54,24,8,38,20,204
1000000,0.8,0.7853981633974483,0.125,2.5,0.20115115115115115,0.07498942093324558,0.03451991921928357,0.034799245414286285,0.029767457700511764,7254,2296,124,1420,302,178,24,744,55,36,14,20,42,32,90,30,26,30,5,4,3,45,43,19,10,54,19,222
1000000,0.8,0.7853981633974483,0.125,2.5,0.20143143143143144,0.07498942093324558,0.03476471518618032,0.034574231943885286,0.029325944782914073,7325,2307,125,1362,289,166,31,718,52,45,25,18,38,41,73,21,23,30,4,5,0,38,58,27,10,48,21,207
1000000,0.8,0.7853981633974483,0.125,2.5,0.19866866866866867,0.07498942093324558,0.03238380336054226,0.03249559399299174,0.028042759857113624,6926,2129,105,1334,276,155,16,709,44,29,16,14,34,41,82,27,25,26,2,3,3,46,52,28,13,47,21,208
1000000,0.8,0.7853981633974483,0.125,2.5,0.20257257257257258,0.07498942093324558,0.035768872029778465,0.0360325624898896,0.030516691742495723,7532,2325,127,1470,288,194,21,766,54,33,30,13,40,41,101,24,34,33,3,3,2,50,48,23,11,52,18,207
1000000,0.8,0.7853981633974483,0.125,2.5,0.19672672672672673,0.07498942093324558,0.030753613761294343,0.030753868103185096,0.02645793525207288,6547,2047,89,1330,257,139,19,654,45,36,13,10,23,36,76,17,23,24,4,2,3,45,44,14,4,48,14,191
1000000,0.8,0.7853981633974483,0.125,2.5,0.19936936936936936,0.07498942093324558,0.032980860345543345,0.03316576924807796,0.02849886824306165,7279,2177,123,1334,271,195,30,690,39,38,24,11,31,56,86,13,28,27,4,3,0,53,59,16,6,41,15,183
1000000,0.8,0.7853981633974483,0.125,2.5,0.19878878878878878,0.07498942093324558,0.03248582506935124,0.03169892467886929,0.027668142836121644,6935,2227,100,1390,255,138,24,691,44,26,19,15,31,35,62,16,14,23,6,3,1,50,53,33,7,37,12,170
1000000,0.8,0.7853981633974483,0.125,2.5,0.1998098098098098,0.07498942093324558,0.033358530352584265,0.033084277883121925,0.028430756057426745,7213,2088,119,1400,283,174,21,692,44,36,17,18,33,31,75,15,33,37,4,4,0,52,33,22,11,53,8,213
1000000,0.8,0.7853981633974483,0.125,2.5,0.19832832832832833,0.07498942093324558,0.032095487947182436,0.03194461506276659,0.027445561943779007,7012,2093,115,1304,254,163,10,690,45,30,22,20,32,39,69,21,27,32,4,3,0,50,55,31,5,46,17,166
1000000,0.8,0.7853981633974483,0.125,2.5,0.1997097097097097,0.07498942093324558,0.03327253567993027,0.033124415421085344,0.028500084532090846,7063,2209,113,1323,289,173,21,739,49,34,14,18,33,42,75,19,23,28,2,6,2,55,44,36,6,41,20,193
1000000,0.8,0.7853981633974483,0.125,2.5,0.19904904904904905,0.07498942093324558,0.03270734233884211,0.03254789442124711,0.02799532458497503,6869,2213,125,1376,242,188,15,670,47,35,22,11,25,35,83,15,27,35,0,4,1,53,62,26,5,48,18,185
1000000,0.8,0.7853981633974483,0.125,2.5,0.19824824824824824,0.07498942093324558,0.03202780958875034,0.031798660379263245,0.027471104013392096,6858,2024,113,1397,247,181,22,667,51,25,13,17,30,34,78,23,12,21,2,0,1,39,57,30,6,45,23,196
1000000,0.8,0.7853981633974483,0.125,2.5,0.19902902902902903,0.07498942093324558,0.03269027972991572,0.033696071264806796,0.028958625496097262,7010,2312,114,1375,275,186,20,719,55,33,21,16,38,38,80,18,24,40,0,1,1,37,60,22,11,45,17,218
1000000,0.8,0.7853981633974483,0.125,2.5,0.1998898898898899,0.07498942093324558,0.033427393985668276,0.033620661344996736,0.02892213682522142,7203,2219,116,1390,283,163,16,718,54,38,13,22,33,47,76,28,22,19,5,1,1,38,51,32,11,44,11,216
1000000,0.8,0.7853981633974483,0.125,2.5,0.19976976976976976,0.07498942093324558,0.033324121163250515,0.03317063440419474,0.028666716129090525,7015,2256,124,1380,292,196,21,713,46,26,14,25,43,43,82,15,19,25,1,5,1,38,43,27,9,39,16,199
1000000,0.8,0.7853981633974483,0.125,2.5,0.19886886886886887,0.07498942093324558,0.03255391573708014,0.03266709074610818,0.028188714540616992,6984,2121,117,1323,295,167,21,715,56,35,21,23,22,38,64,26,31,30,1,1,0,41,54,29,9,40,14,226
1000000,0.8,0.7853981633974483,0.125,2.5,0.20035035035035034,0.07498942093324558,0.03382452860613578,0.033744722825974585,0.02924566970698722,7300,2214,127,1281,300,185,33,787,46,37,18,19,24,35,72,16,26,31,2,3,2,68,54,38,9,55,15,205
1000000,0.8,0.7853981633974483,0.125,2.5,0.20077077077077077,0.07498942093324558,0.034188863259952906,0.03408771633220745,0.029117959358921773,7336,2232,93,1429,297,172,30,733,52,34,16,25,31,39,68,23,30,30,5,2,2,43,30,28,10,43,13,201
1000000,0.8,0.7853981633974483,0.125,2.5,0.19966966966966967,0.07498942093324558,0.0332381642334762,0.03314630862361084,0.02857306187384253,7081,2209,111,1341,280,176,15,728,53,31,24,16,25,53,76,22,22,19,2,2,0,46,39,34,6,49,20,211
1000000,0.8,0.7853981633974483,0.125,2.5,0.20121121121121122,0.07498942093324558,0.03457231416052331,0.03446719850931616,0.029454871420008716,7255,2234,128,1357,289,183,29,768,41,36,37,18,36,33,83,19,35,24,5,2,0,59,47,31,7,47,24,213
1000000,0.8,0.7853981633974483,0.125,2.5,0.19962962962962963,0.07498942093324558,0.03320380789453745,0.03314630862361084,0.028517112578499572,7135,2207,116,1381,293,169,32,710,42,41,17,14,31,27,71,16,20,27,2,1,0,51,53,32,15,50,14,184
1000000,0.8,0.7853981633974483,0.125,2.5,0.19924924924924925,0.07498942093324558,0.032878177292221866,0.03276925902456052,0.02823979867984317,7124,2134,122,1390,270,151,18,670,41,41,19,13,22,32,76,21,29,24,4,9,1,49,51,22,8,46,19,217
