n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
100000,0.8,0.7853981633974483,0.1,2,0.1974074074074074,0.0316227766016838,0.005115535107028613,0.004943110357132411,0.004665243206879414,116,38,1,13,1,2,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,2,0.19646646646646646,0.0316227766016838,0.004788328782285223,0.004065635145807131,0.0038755155166866548,95,21,3,18,1,1,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,2,0.20351351351351352,0.0316227766016838,0.007499409847872002,0.0069320541694697126,0.006361695282108306,148,41,3,30,2,3,0,11,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,3
100000,0.8,0.7853981633974483,0.1,2,0.20097097097097097,0.0316227766016838,0.006452092460622323,0.007370791775132352,0.006566439498084206,151,36,1,36,1,6,1,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4
100000,0.8,0.7853981633974483,0.1,2,0.20195195195195195,0.0316227766016838,0.006846961025998634,0.007253795080288982,0.006873555822048063,156,46,1,32,8,4,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
100000,0.8,0.7853981633974483,0.1,2,0.19626626626626625,0.0316227766016838,0.004720099707078601,0.004416625230337243,0.0044166252303372445,97,27,4,17,5,1,0,7,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,2
100000,0.8,0.7853981633974483,0.1,2,0.20375375375375374,0.0316227766016838,0.007602384323695224,0.007268419667144403,0.006785808300915533,150,49,1,30,2,4,0,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5
100000,0.8,0.7853981633974483,0.1,2,0.19842842842842842,0.0316227766016838,0.005482756318285181,0.005469595483927579,0.0051039808125420555,110,38,1,23,3,2,0,8,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4
100000,0.8,0.7853981633974483,0.1,2,0.20233233233233233,0.0316227766016838,0.007003191236932202,0.0069320541694697126,0.006566439498084207,151,42,0,27,2,2,0,17,0,0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,3
100000,0.8,0.7853981633974483,0.1,2,0.19752752752752753,0.0316227766016838,0.005158080684533002,0.005966831437011905,0.005279475854807106,102,31,1,25,5,6,0,8,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,5
100000,0.8,0.7853981633974483,0.1,2,0.1992092092092092,0.0316227766016838,0.00577210387518602,0.005060107051975782,0.004796864488578211,121,40,2,18,5,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,2,0.20029029029029027,0.0316227766016838,0.0061849229669269055,0.0057035888736143205,0.005147854573108323,114,40,0,21,5,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
100000,0.8,0.7853981633974483,0.1,2,0.1988088088088088,0.0316227766016838,0.0056227976895462176,0.005440346310216736,0.005308725028517961,128,37,1,16,1,1,1,16,1,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,2
100000,0.8,0.7853981633974483,0.1,2,0.19994994994994994,0.0316227766016838,0.006053436922342342,0.005791336394746848,0.005542718418204701,134,33,4,18,7,2,2,7,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,5
100000,0.8,0.7853981633974483,0.1,2,0.2013913913913914,0.0316227766016838,0.006619901805819849,0.006390944455819123,0.00615695106613241,154,44,1,22,0,4,0,14,2,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0
100000,0.8,0.7853981633974483,0.1,2,0.20233233233233233,0.0316227766016838,0.007003191236932202,0.006771183714060078,0.0060838281318553,145,39,3,20,7,3,0,12,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4
100000,0.8,0.7853981633974483,0.1,2,0.20069069069069068,0.0316227766016838,0.006341404074676817,0.007151422972301032,0.006771183714060108,136,53,2,29,6,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5
100000,0.8,0.7853981633974483,0.1,2,0.19546546546546548,0.0316227766016838,0.004452062905023961,0.004504372751469771,0.004328877709204712,90,20,2,20,2,2,0,13,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,1,0,0
100000,0.8,0.7853981633974483,0.1,2,0.20465465465465466,0.0316227766016838,0.007994693457616603,0.00843838661557811,0.007882652315072134,152,50,1,31,5,1,0,24,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,1,5
100000,0.8,0.7853981633974483,0.1,2,0.2029129129129129,0.0316227766016838,0.007245001834543452,0.007005177103746819,0.006142326479276978,124,36,2,30,4,3,0,12,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,5
100000,0.8,0.7853981633974483,0.1,2,0.20045045045045046,0.0316227766016838,0.0062472830640420765,0.006215449413554067,0.005762087221036023,128,45,2,23,2,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7
100000,0.8,0.7853981633974483,0.1,2,0.19916916916916916,0.0316227766016838,0.005757085872698919,0.005966831437011905,0.005396472549650481,102,36,2,26,5,1,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
