n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.1,2.1,0.19926926926926927,0.01819700858609984,0.0018442450330252388,0.001853602773459827,0.0017240642511070928,446,138,7,89,11,4,2,33,1,1,0,0,0,0,3,1,0,0,0,0,0,2,1,1,0,2,0,9
1000000,0.8,0.7853981633974483,0.1,2.1,0.19896896896896896,0.01819700858609984,0.0017811018462618392,0.001953761424763492,0.0018602800168800776,428,141,8,91,10,7,3,42,2,0,1,0,0,2,8,0,0,1,0,1,0,3,2,1,0,0,0,13
1000000,0.8,0.7853981633974483,0.1,2.1,0.19982982982982983,0.01819700858609984,0.0019650694954428025,0.0019550968734475408,0.0018215520050426602,447,134,11,97,16,4,0,34,2,1,0,1,2,1,5,0,0,1,0,0,0,4,0,4,0,2,0,7
1000000,0.8,0.7853981633974483,0.1,2.1,0.19938938938938938,0.01819700858609984,0.0018698117738980228,0.0018789762984567555,0.0017601213655764117,422,134,6,97,13,5,2,32,2,1,0,1,0,3,7,0,0,0,0,0,0,4,2,0,1,3,0,5
1000000,0.8,0.7853981633974483,0.1,2.1,0.2007107107107107,0.01819700858609984,0.002162717911040145,0.0021086734721131608,0.0019804703984444764,528,118,7,101,11,6,1,49,0,1,1,0,0,0,10,0,0,0,1,0,0,1,3,1,0,1,1,10
1000000,0.8,0.7853981633974483,0.1,2.1,0.19856856856856855,0.01819700858609984,0.0016986300996160403,0.0016092156642788845,0.001551791370864788,391,119,4,78,12,6,1,33,2,1,0,0,0,1,8,0,0,0,0,0,0,0,2,0,0,2,0,5
1000000,0.8,0.7853981633974483,0.1,2.1,0.1986086086086086,0.01819700858609984,0.0017067888640866845,0.001774811301100944,0.0016586272655886977,419,119,8,88,6,9,2,25,2,0,0,1,1,8,2,0,0,0,0,1,0,2,2,2,1,2,0,9
1000000,0.8,0.7853981633974483,0.1,2.1,0.19992992992992992,0.01819700858609984,0.0019870505687320595,0.0019697868089720784,0.0018976725800334447,451,136,12,112,11,10,3,31,1,0,2,0,1,4,6,0,0,0,0,1,0,1,3,0,0,2,0,9
1000000,0.8,0.7853981633974483,0.1,2.1,0.19932932932932934,0.01819700858609984,0.0018570062983205792,0.0017774821984690417,0.0016546209195365507,437,109,3,81,16,8,1,31,1,0,1,2,2,1,5,0,0,0,1,0,0,0,5,0,1,0,0,9
1000000,0.8,0.7853981633974483,0.1,2.1,0.20255255255255256,0.01819700858609984,0.0026067135273441034,0.002433187502337035,0.002290294493143817,602,145,7,117,14,10,1,56,1,0,0,0,0,2,5,1,0,1,1,0,0,0,1,3,0,1,3,13
1000000,0.8,0.7853981633974483,0.1,2.1,0.1998898898898899,0.01819700858609984,0.001978243401849595,0.002076622703695988,0.0019510905273953992,434,148,4,110,8,11,1,43,1,0,0,0,2,1,3,1,1,1,0,0,0,3,2,1,0,1,0,15
1000000,0.8,0.7853981633974483,0.1,2.1,0.20097097097097097,0.01819700858609984,0.0022229341225756052,0.002106002574745063,0.0019404069379230099,478,135,8,108,13,8,6,43,0,0,0,0,2,1,6,0,0,0,0,0,0,3,3,0,1,0,0,7
1000000,0.8,0.7853981633974483,0.1,2.1,0.2007107107107107,0.01819700858609984,0.002162717911040145,0.0021527432786867732,0.002027211102386189,523,154,4,99,14,7,1,46,1,1,1,0,1,5,5,0,0,1,0,1,0,1,2,1,1,1,0,7
