n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.076,2.05,0.19896896896896896,0.008605973411928222,0.0003447170862908993,0.00031843459399589265,0.00031843459399589265,68,12,2,10,1,3,0,7,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.19950950950950952,0.008605973411928222,0.0003958306562052285,0.00041227280768550353,0.0003922744998500127,73,19,0,14,2,1,0,12,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.19904904904904905,0.008605973411928222,0.00035206547750491716,0.00036766119789863935,0.00033997123320334433,73,18,3,11,1,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.20049049049049047,0.008605973411928222,0.0004976660203551031,0.0005491842997900178,0.0005214943350947228,106,36,3,20,2,0,0,10,1,0,1,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.20025025025025026,0.008605973411928222,0.0004716442005697654,0.0004291944527770727,0.00040458115082569936,108,20,1,19,2,1,0,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.19966966966966967,0.008605973411928222,0.0004116573556982502,0.0004568844174723677,0.0004291944527770727,88,24,1,23,4,2,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.20065065065065066,0.008605973411928222,0.0005154042288550981,0.0004691910684480544,0.0004691910684480544,122,25,1,19,5,1,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.2001901901901902,0.008605973411928222,0.0004652485008377369,0.00047226773119197606,0.0004661144057041327,95,28,2,22,3,1,2,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4
1000000,0.8,0.7853981633974483,0.076,2.05,0.1996896896896897,0.008605973411928222,0.0004136576210599367,0.00039842782533785603,0.0003753528547584435,90,34,2,17,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.20121121121121122,0.008605973411928222,0.0005799481538337923,0.0005138026782349186,0.00048611271353962357,105,39,0,19,4,0,1,7,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.19870870870870871,0.008605973411928222,0.00032137263630460075,0.00033227957634354016,0.00033227957634354016,63,21,3,21,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.19962962962962963,0.008605973411928222,0.0004076714445205997,0.0004507310919845244,0.00041227280768550353,93,25,1,14,1,1,0,7,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,3
1000000,0.8,0.7853981633974483,0.076,2.05,0.20049049049049047,0.008605973411928222,0.0004976660203551031,0.00047072939982001523,0.00046303774296021106,109,24,3,22,4,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.2005105105105105,0.008605973411928222,0.0004998662173842927,0.0005661059448815869,0.0005091876841190361,111,40,1,20,1,4,0,6,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.1998098098098098,0.008605973411928222,0.0004257615597209252,0.0004384244410088377,0.00039996615670981686,93,33,2,13,1,3,0,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.1997097097097097,0.008605973411928222,0.0004156627598083866,0.00043534777826491605,0.0004061194821976602,80,29,2,18,2,1,0,6,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.076,2.05,0.20015015015015014,0.008605973411928222,0.0004610090869516588,0.0004522694233564852,0.0004384244410088377,81,23,3,15,1,2,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,4
1000000,0.8,0.7853981633974483,0.076,2.05,0.1996096096096096,0.008605973411928222,0.00040568579839547476,0.00039842782533785603,0.0003599695410388352,91,21,0,18,2,1,2,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.076,2.05,0.20017017017017016,0.008605973411928222,0.00046312635539849585,0.0005399543115582528,0.0004938043703994277,103,31,4,33,2,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.19886886886886887,0.008605973411928222,0.00033564111835870215,0.0003199729253678535,0.0003199729253678535,61,19,0,12,1,1,0,11,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.2007107107107107,0.008605973411928222,0.0005221365802051058,0.0005537992939059003,0.0005168793409788403,123,29,2,22,1,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,5
1000000,0.8,0.7853981633974483,0.076,2.05,0.2005905905905906,0.008605973411928222,0.0005087158013312369,0.00046765273707609356,0.0004368861096368769,102,25,2,21,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.19958958958958958,0.008605973411928222,0.0004037050250396289,0.0003922744998500127,0.0003661228665266785,90,23,1,13,1,0,0,7,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.1999099099099099,0.008605973411928222,0.00043598221722487954,0.0004661144057041327,0.00045380775472844605,104,25,2,21,3,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.2007907907907908,0.008605973411928222,0.0005311813811099711,0.0005384159801862919,0.0005014960272592319,104,24,3,24,1,2,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.20045045045045046,0.008605973411928222,0.0004932802640541053,0.0005522609625339394,0.0005245709978386444,118,36,1,22,5,1,0,8,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.20065065065065066,0.008605973411928222,0.0005154042288550981,0.0005245709978386444,0.0005091876841190361,120,42,3,20,1,1,0,9,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.076,2.05,0.19972972972972972,0.008605973411928222,0.0004176727720973137,0.0004384244410088377,0.00040919614494158187,105,19,3,14,2,1,0,7,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.2015915915915916,0.008605973411928222,0.0006259264362120097,0.0005322626546984486,0.0005322626546984486,122,45,0,20,3,2,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2
1000000,0.8,0.7853981633974483,0.076,2.05,0.20007007007007008,0.008605973411928222,0.0004525887801412919,0.0004968810331433494,0.00047534439393589773,102,32,1,20,1,2,0,12,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
