n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.125,2.5,0.2002102102102102,0.07498942093324558,0.03370345103968126,0.033384701273332984,0.028633876325302267,7189,2221,115,1294,284,164,32,728,57,44,13,11,30,48,68,30,33,19,5,3,0,51,50,26,10,37,19,211
1000000,0.8,0.7853981633974483,0.125,2.5,0.20023023023023023,0.07498942093324558,0.033720736570320535,0.03310252221855984,0.028494003086944872,7330,2231,105,1285,274,187,23,704,43,27,14,17,33,40,67,30,35,31,4,6,1,50,47,28,5,38,18,199
1000000,0.8,0.7853981633974483,0.125,2.5,0.19938938938938938,0.07498942093324558,0.032997987449916916,0.032147735330642094,0.02778247400486595,6961,2167,97,1332,269,182,21,676,51,33,12,19,27,29,67,24,29,25,2,3,0,45,54,39,9,46,11,191
1000000,0.8,0.7853981633974483,0.125,2.5,0.1977077077077077,0.07498942093324558,0.03157258543176036,0.031758522841299826,0.027300823549304833,6844,2083,129,1259,256,165,21,719,47,24,24,17,33,42,65,23,24,19,1,3,0,53,54,29,14,41,11,184
1000000,0.8,0.7853981633974483,0.125,2.5,0.20109109109109108,0.07498942093324558,0.034467557773171426,0.03389554266559471,0.029046198306199283,7257,2277,105,1403,275,174,24,701,50,39,15,21,34,42,79,19,26,28,8,4,0,45,43,27,9,42,17,209
1000000,0.8,0.7853981633974483,0.125,2.5,0.20049049049049047,0.07498942093324558,0.03394579000231987,0.03344186685770513,0.02889902733366672,7389,2193,107,1398,270,169,17,715,64,42,14,11,34,39,81,14,27,33,4,5,2,48,39,27,5,43,16,198
1000000,0.8,0.7853981633974483,0.125,2.5,0.19824824824824824,0.07498942093324558,0.03202780958875034,0.03175244139615385,0.027293525815129664,6886,2105,105,1329,256,153,24,721,49,37,17,18,34,33,66,14,22,34,5,2,1,47,47,25,12,30,12,165
1000000,0.8,0.7853981633974483,0.125,2.5,0.19974974974974974,0.07498942093324558,0.0333069222279797,0.03330320990837695,0.028701988510937172,7232,2253,114,1388,309,167,17,690,58,40,18,22,30,41,62,22,25,21,4,1,3,55,38,28,14,43,11,186
1000000,0.8,0.7853981633974483,0.125,2.5,0.19816816816816818,0.07498942093324558,0.03196019249410042,0.03248099852464141,0.02798802685079986,6911,2161,96,1313,264,159,17,759,51,34,14,20,38,42,82,19,23,18,1,3,1,30,45,25,6,47,15,204
1000000,0.8,0.7853981633974483,0.125,2.5,0.19786786786786786,0.07498942093324558,0.03170717481402486,0.031580944643037415,0.027330014486005506,6845,2090,100,1290,276,165,18,682,45,34,10,24,43,49,73,33,25,26,2,4,1,45,40,21,12,38,11,191
1000000,0.8,0.7853981633974483,0.125,2.5,0.2007907907907908,0.07498942093324558,0.034206253679350214,0.03473478209573898,0.029727320162548337,7197,2261,111,1453,307,188,16,769,61,38,19,13,29,37,85,16,28,20,3,3,1,51,46,32,10,55,24,204
1000000,0.8,0.7853981633974483,0.125,2.5,0.19996996996996996,0.07498942093324558,0.03349631791843033,0.0338079698554927,0.029008493346294247,7294,2208,114,1443,285,174,27,655,56,41,14,26,35,42,71,22,32,22,4,4,1,51,48,25,10,47,22,204
1000000,0.8,0.7853981633974483,0.125,2.5,0.19918918918918918,0.07498942093324558,0.03282688695273854,0.03256127360056825,0.02824466383595995,6985,2203,93,1396,278,181,17,729,49,30,14,18,20,39,82,14,19,26,3,3,0,45,46,24,7,24,11,203
1000000,0.8,0.7853981633974483,0.125,2.5,0.19864864864864865,0.07498942093324558,0.032366813085961024,0.03212097697199981,0.027665710258063254,6972,2169,100,1337,257,166,23,676,33,23,23,7,35,35,82,16,26,25,5,3,5,47,43,23,8,46,18,192
1000000,0.8,0.7853981633974483,0.125,2.5,0.20165165165165164,0.07498942093324558,0.034957565259492174,0.03508142446905943,0.030129911831211796,7418,2285,115,1463,287,200,24,766,55,38,19,19,36,24,85,29,21,38,3,2,4,63,51,30,9,42,14,211
1000000,0.8,0.7853981633974483,0.125,2.5,0.1997097097097097,0.07498942093324558,0.03327253567993027,0.03335429404760312,0.028517112578499572,7177,2209,123,1288,297,157,22,726,65,35,12,12,23,49,73,21,20,29,2,3,1,52,53,21,15,45,19,202
1000000,0.8,0.7853981633974483,0.125,2.5,0.2000900900900901,0.07498942093324558,0.03359981677557584,0.034202047500951745,0.02959474465836611,7183,2278,104,1423,253,217,25,758,54,38,15,19,34,41,86,23,30,23,2,2,5,48,52,26,14,52,11,216
1000000,0.8,0.7853981633974483,0.125,2.5,0.19954954954954954,0.07498942093324558,0.0331351405628706,0.03306481725865481,0.028384537074317345,7091,2133,121,1300,291,158,22,727,55,32,18,19,32,33,83,18,24,37,5,4,2,51,53,22,9,50,15,213
1000000,0.8,0.7853981633974483,0.125,2.5,0.2005105105105105,0.07498942093324558,0.03396312805051048,0.03388216348627357,0.029108229046688215,7256,2303,113,1406,296,184,23,693,50,27,25,20,24,41,59,29,21,30,3,5,5,49,59,27,17,57,17,184
1000000,0.8,0.7853981633974483,0.125,2.5,0.19826826826826827,0.07498942093324558,0.032044723436698064,0.03166365229702264,0.027501511239121965,6808,2074,109,1297,272,191,24,683,45,20,16,17,30,45,80,29,26,35,7,4,2,48,46,19,7,43,14,206
