n,lambda,phi,eps,gamma,theta_rough,offset,mpn,calculated_mpn,calculated_FI,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.065,2.1,0.19978978978978978,0.006591738952443214,0.0002444287728671862,0.00023639556379924,13.240204323470032,47.46445850389435,14.133300566805461,0.7976906160229785,9.329706617091151,0.9665989865021221,0.6162638498294617,0.2034739207945252,3.93189160184388,0.12096003526222968,0.03779297004271406,0.11529163515512748,0.034228474898325846,0.07656170629902255,0.2457693029685511,0.5730263414601194,0.03906857568852006,0.006180761112655926,0.0477703581902373,0.009057101420044086,0.01380351284112079,0.0013824643553961276,0.14690560873274613,0.1471861299992104,0.07977326604474717,0.0537496040155982,0.14499121227857872,0.03932789473506244,0.9402428099187842
1000000,0.8,0.7853981633974483,0.065,2.1,0.19952952952952951,0.006591738952443214,0.00022485166944187702,0.00021737297377317623,13.242999417562167,43.697648197793,12.972046961183937,0.7308935881010269,8.590419767904205,0.8877464117218486,0.5662968597690627,0.18706142127501776,3.6097943720632246,0.11092656905398177,0.034402818260037,0.10665967495458067,0.03122905606332989,0.07000850109676646,0.2255250338407259,0.5283362414165352,0.036065368267190326,0.0055273679132162275,0.04440730051467078,0.008468523226810803,0.01276175807441856,0.0012540950005435192,0.13491837004298857,0.13511967948772854,0.07330020661940696,0.049390146407044706,0.1332053942582486,0.03616334416802617,0.8633313704171475
1000000,0.8,0.7853981633974483,0.065,2.1,0.20065065065065066,0.006591738952443214,0.00031503418431900044,0.00030509347448805284,13.23094144993317,61.01407321140272,18.351540651440725,1.0416938072823752,11.987609994945988,1.252410199275469,0.7970794667217633,0.26289683206547043,5.100820038255122,0.15753424968043026,0.050414751903270945,0.1459302751179679,0.04535593490131818,0.10065786291640674,0.31937651160925884,0.7329536351423084,0.04981240213077302,0.008727895723217948,0.05955296878187592,0.011062369627536395,0.017494907304793392,0.0018672074010698508,0.1903518247061269,0.19098052791871364,0.10320535173339378,0.06955455899140427,0.1876612671888881,0.05075502464705767,1.2192225533684908
1000000,0.8,0.7853981633974483,0.065,2.1,0.1991291291291291,0.006591738952443214,0.0001963350341634522,0.00018968557553453294,13.247294738067595,38.202482519954124,11.28756695337203,0.6343116571445104,7.511609094314079,0.7732236376158149,0.4936564803578204,0.16320126366128004,3.142323655932906,0.0964001726630744,0.029555552602446727,0.0939630501973453,0.02692956318867986,0.06056893862728811,0.1961744687935029,0.4629479242803416,0.031667739134463246,0.004618371112607103,0.03941955471865256,0.007582197811018252,0.011228944195379564,0.0010719563843926418,0.1175081936085583,0.11760845412311367,0.06389152793456657,0.04305760813606989,0.11607700900869988,0.031557097075005536,0.7516760528730745
1000000,0.8,0.7853981633974483,0.065,2.1,0.20007007007007008,0.006591738952443214,0.0002664298538667524,0.00025778713987328184,13.23719146291441,51.69240142344823,15.442801528622395,0.8732154082802062,10.15929439033504,1.0554269748939948,0.6725079452994291,0.2219510064738535,4.294949261999358,0.13229282880829937,0.041661071472744005,0.12491744752586606,0.03764448595162211,0.08399426587149121,0.26860807739350484,0.6230649476619717,0.04243004357770347,0.006942858344875853,0.05149653581872118,0.009700774715851901,0.014964516568116927,0.001529894549623015,0.16040896183580808,0.16078769508694904,0.08706063293853075,0.058660638269887176,0.15826084184942016,0.04288636763536575,1.0269144922063633
1000000,0.8,0.7853981633974483,0.065,2.1,0.20029029029029027,0.006591738952443214,0.0002843846221602052,0.0002752548208291846,13.234822210195643,55.13880082911203,16.514833838795845,0.9351964943145146,10.835375113557623,1.128077467944312,0.7184758248958207,0.2370560420739066,4.592047707244751,0.14158483177361156,0.044861978745320844,0.13271831206254137,0.04046701844970521,0.09011155534647097,0.28731307615096313,0.6637612122913175,0.045163675799441826,0.007586185349829109,0.054499158269379636,0.01021302866733241,0.01590465381296313,0.00165265510433943,0.17145270078077676,0.1719185791098811,0.09301744938875327,0.06267776056026027,0.16910828659714597,0.04579195701087125,1.0978241445994994
1000000,0.8,0.7853981633974483,0.065,2.1,0.20087087087087085,0.006591738952443214,0.00033454035777234753,0.0003240965892208837,13.22856755400673,64.74827218907727,19.524705680533938,1.109911689877318,12.719740466243682,1.3317370676701663,0.8471895492966056,0.2793801270240761,5.425633067175254,0.1677408539911117,0.054005173788111635,0.15427517104947527,0.04851298964900818,0.10743603011834152,0.33986711235427386,0.7768137094798655,0.0527606209930339,0.009482591615014059,0.06272649790235142,0.0115875488405251,0.01849776003134623,0.0020069887554134574,0.20240914789213296,0.20315045373531465,0.10970147356196908,0.07394392269976031,0.1994913004165316,0.05391559725834077,1.2967054324634706
1000000,0.8,0.7853981633974483,0.065,2.1,0.19996996996996996,0.006591738952443214,0.0002584630037755294,0.00025003936451661315,13.238267812809713,50.16204194999706,14.9680823930985,0.8458122251708208,9.859038719293268,1.0232360386118016,0.6521305264545033,0.2152562068175914,4.163353014094641,0.1281822356297811,0.0402534046429451,0.12144060806507015,0.03640204440484266,0.08129468972212918,0.26032735703320675,0.6049674789490813,0.041214382123118336,0.006663533568984463,0.050153433336273374,0.00946978374049802,0.014545266732982887,0.0014761248355489656,0.15551544739600595,0.15585751287459434,0.08442025649215089,0.05688084872415098,0.15345284147355642,0.04159755323165184,0.9955013805239143
1000000,0.8,0.7853981633974483,0.065,2.1,0.20055055055055054,0.006591738952443214,0.0003063623507733182,0.0002966485009474077,13.232019911893397,59.35273769836892,17.83103402024301,1.0114750935591241,11.661835873670618,1.2171928211673906,0.7748229691183187,0.2555783208219442,4.956669189464459,0.15301057838250054,0.04883253871517383,0.14220491349703127,0.043963738428694575,0.09766089207916019,0.31028794273220967,0.7134114330261354,0.04849922882370868,0.008399357042294666,0.05813174526125226,0.010825140227782281,0.01704679405324609,0.001805869445635701,0.1849987584808597,0.18557962422611715,0.10032041260968856,0.06760638426691395,0.18240752035674015,0.049350412891662726,1.1848307412367283
1000000,0.8,0.7853981633974483,0.065,2.1,0.20101101101101101,0.006591738952443214,0.00034725996725065776,0.00033649345042899943,13.227055977515489,67.18125799958035,20.291422474807504,1.1545745401868162,13.196668885971098,1.383544660564443,0.87989960473832,0.2901446131277311,5.637849046006086,0.17441930711198972,0.05636947599032493,0.15969187160385487,0.050590469776322124,0.11188300349683948,0.35326308658461003,0.8053427503442417,0.05467920929950279,0.009986304983928038,0.06477945221635846,0.011923966049447206,0.0191479639211445,0.002099477093241898,0.21028333345978883,0.21110173532097226,0.11394246452105274,0.07681152206859118,0.20721443786782368,0.055977332734820195,1.3473200661803852
