n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03046,0.02648000000000005,384,132,4,79,10,10,0,45,2,2,0,1,1,1,2,2,1,0,0,0,0,1,1,1,0,3,1,19
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02908,0.025840000000000057,402,128,5,70,18,9,0,50,1,1,1,1,3,3,3,1,0,2,1,0,0,3,2,2,0,2,2,3
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02904,0.02534000000000001,371,118,3,63,17,8,2,53,0,2,1,1,1,2,5,1,1,0,0,0,0,5,1,0,2,3,0,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02772,0.025020000000000025,372,127,7,80,9,7,1,29,0,4,3,2,2,1,3,1,1,3,1,0,0,2,5,1,0,1,4,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03042,0.02594000000000004,390,121,1,78,15,9,0,41,2,1,0,1,0,2,5,3,0,0,0,0,1,5,0,2,0,5,2,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02926,0.025200000000000052,390,142,2,69,12,7,1,36,3,2,2,1,1,2,2,1,0,1,0,0,0,2,5,3,1,1,0,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02842,0.024440000000000045,377,128,4,84,13,5,2,33,2,2,2,0,0,3,4,1,1,0,0,0,0,2,5,1,0,1,1,6
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02946,0.02462000000000002,401,108,4,79,9,7,3,36,6,1,1,0,0,1,3,0,4,2,0,0,0,5,7,1,1,1,2,5
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02718,0.02400000000000003,383,112,8,77,7,8,1,34,5,3,1,1,0,2,5,3,1,1,0,0,0,1,2,2,1,1,0,9
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03182,0.028340000000000063,376,128,10,78,33,8,1,39,3,4,1,1,3,2,3,2,1,1,1,0,0,3,2,2,1,7,1,16
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02962,0.026460000000000043,373,124,10,74,18,8,0,55,0,3,3,1,1,4,5,1,0,2,0,0,0,4,1,2,0,2,0,8
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02854,0.025240000000000023,385,116,5,77,11,9,2,34,2,3,1,0,2,3,1,2,1,1,0,0,0,4,3,2,1,4,0,14
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02994,0.026240000000000038,425,115,5,76,11,14,0,45,4,2,1,1,0,2,3,3,1,0,0,0,0,1,3,1,0,3,0,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02992,0.025440000000000042,364,134,4,73,10,13,0,39,1,5,1,1,0,6,2,1,3,1,0,0,0,5,3,1,0,0,0,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02862,0.02490000000000004,347,129,10,84,16,9,2,35,2,3,0,0,2,1,3,0,0,1,0,1,0,1,2,1,2,3,1,9
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02948,0.026480000000000083,396,141,8,81,17,10,1,44,1,0,1,0,2,1,6,1,1,0,0,0,0,0,3,0,0,5,1,5
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02994,0.025320000000000023,386,92,3,89,17,13,0,45,3,2,2,0,1,1,5,1,1,0,0,0,0,2,2,1,0,1,0,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02828,0.025560000000000024,375,122,8,71,14,9,1,33,3,0,0,0,3,3,2,2,0,1,0,1,0,4,2,2,1,5,3,15
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02766,0.02594000000000004,387,125,6,73,16,10,1,36,3,1,1,0,0,4,5,1,1,1,1,1,0,1,6,2,1,3,0,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03046,0.025660000000000065,414,136,8,75,17,10,1,33,0,2,2,0,2,1,3,1,2,0,0,2,0,3,1,1,0,3,0,8
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03092,0.02558000000000005,388,126,7,70,14,8,1,39,3,3,2,1,1,4,2,3,1,1,0,0,0,2,3,3,3,4,2,7
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02732,0.02522000000000002,403,110,2,67,18,14,1,35,7,3,2,0,1,1,1,2,2,0,0,0,0,3,3,0,0,2,0,16
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.0286,0.02424000000000004,394,115,8,64,19,9,1,36,2,2,1,3,0,3,6,2,3,0,0,0,0,0,0,1,0,2,1,8
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02946,0.02534000000000004,406,103,10,90,10,13,0,38,4,3,3,0,0,2,4,1,0,1,0,0,0,1,1,0,1,2,0,10
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03036,0.027020000000000065,408,127,10,85,18,9,3,49,2,1,1,0,2,2,6,0,0,2,0,0,0,3,3,0,0,2,0,5
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03032,0.025920000000000023,414,98,10,74,17,11,0,43,4,1,1,1,5,6,2,0,2,0,0,0,0,0,3,1,0,0,2,13
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.0279,0.024800000000000013,404,116,8,58,11,11,2,39,5,2,0,0,2,4,2,0,0,2,0,0,0,5,1,1,1,2,3,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03322,0.027200000000000054,377,135,6,82,16,8,1,40,3,2,1,1,2,0,10,1,0,1,0,0,0,2,1,3,1,7,1,11
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02954,0.026080000000000013,387,106,5,71,15,17,4,38,4,2,0,0,3,2,7,1,0,2,0,0,0,0,1,1,1,10,1,13
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03126,0.02706000000000006,385,133,5,81,21,8,2,43,1,6,1,0,1,2,1,0,2,2,0,1,0,3,4,0,0,4,1,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02802,0.02466000000000003,413,125,7,60,10,8,1,41,2,2,2,1,2,3,1,0,1,0,0,0,0,2,1,4,0,5,2,7
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03006,0.024720000000000034,377,130,8,73,14,2,1,24,5,5,1,0,2,4,7,2,0,3,1,1,0,3,0,0,0,3,1,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02896,0.025740000000000058,389,136,2,83,11,11,0,35,0,1,0,0,0,0,3,2,2,1,0,0,0,4,2,1,1,5,0,12
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02998,0.026580000000000017,356,119,4,79,25,6,1,40,6,1,1,0,1,2,4,0,0,1,0,0,0,2,7,2,1,4,1,16
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02858,0.02540000000000002,401,124,8,61,11,11,3,41,0,2,0,1,2,2,7,0,1,4,0,0,0,6,4,0,0,1,1,9
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02984,0.026180000000000037,429,110,9,81,18,6,1,36,7,1,0,2,2,2,2,1,2,1,0,0,0,2,4,3,0,2,0,10
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03118,0.026520000000000026,395,114,5,75,11,10,0,41,2,4,2,1,2,2,3,2,2,1,1,1,0,6,4,1,1,2,2,14
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02666,0.023480000000000036,402,118,9,59,19,6,0,35,0,4,0,1,1,2,3,2,0,0,0,1,0,0,3,0,0,2,0,8
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02856,0.02580000000000003,406,115,7,67,18,12,0,42,2,2,0,0,1,1,6,3,0,0,0,1,0,1,1,2,0,2,0,15
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.0287,0.02576000000000004,371,134,7,75,10,10,0,35,5,1,1,0,4,2,6,0,1,0,1,1,0,0,4,1,0,0,1,16
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.03018,0.02678000000000003,393,121,8,69,9,16,3,34,5,2,4,3,4,1,6,1,4,1,0,0,0,3,4,2,1,4,1,14
50000,0.8,0.7853981633974483,0.125,2.5,0.2,0.07,0.029343364547842796,0.02912,0.025180000000000053,389,133,6,65,17,6,0,41,2,3,1,0,1,3,5,3,1,2,0,0,0,4,2,1,0,4,0,6
