I,I_dm,I_sample,N,n,eps,error,lmbd,phi,Rough,Sampling,Derivative Method,Brute
0.0,0,1573.002363804719,100,300,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,1526.719014044855,100,300,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,544.8916698431124,1000,400,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,746.0894376149053,2000,400,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,849.7533271623948,3000,400,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,1630.4876380666863,2000,500,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,26.495274492023302,1000,20,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,42.29825824355415,1000,30,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,72.48443068204554,1000,40,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,98.87765307186051,1000,50,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,309.5605711658489,1000,100,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,802.608630488926,2000,200,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,0,1350.3189243225563,2000,300,1,0.0,0.8,0.7853981633974483,True,False,False,False
0.0,2049.983152119239,1927.705499033316,100,400,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2541.751200624276,2634.8621841508743,100,500,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,3070.5820108778425,3060.8089898073,100,600,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2511.0008436968214,2226.055388589754,1000,500,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,492.9329548986064,338.4217410776998,1000,100,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,1002.1377647717582,843.3033313859514,1000,200,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,1516.5625200097559,1537.1258700004732,1000,300,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2016.0699421012403,2134.1698427622578,1000,400,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,2544.7251346122325,2313.2237521592215,1000,500,1,0.0,0.8,0.7853981633974483,True,False,True,False
0.0,485.041539377562,422.71386835074355,1000,100,1,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,994.9210380000295,934.366645791667,1000,200,1,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,1513.8218429910924,1397.730992973884,1000,300,1,0.0,0.8,0.7853981633974483,True,False,True,True
0.0,2018.7996483400639,1985.9629160494337,1000,400,1,0.0,0.8,0.7853981633974483,True,False,True,True
