I,I_dm,I_sample,N,n,eps,error,lmbd,phi,Rough,Sampling,Derivative Method,Brute
0.0,377.29005697428875,350.89530732710784,100,50,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,850.0950343659497,721.1360588839005,100,100,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,1979.615831260162,1999.229353578096,100,200,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,3323.1287943635834,3306.173944171592,100,300,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,4234.891548549058,4339.73148215706,100,400,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,5745.05236272671,5995.237725846684,100,500,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,5610.13962396828,6253.758192538996,100,500,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,861.8620768174876,316.6449169685973,1000,100,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,1965.6216352359447,879.934450696856,1000,200,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,3134.3723492227537,2433.9414816307312,1000,300,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,4306.43046911428,2775.6185181363726,1000,400,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,5588.741259998636,4213.7666378044405,1000,500,0,0.0,0.8,0.7853981633974483,False,False,True,False
0.0,835.8757384030469,531.8345560891903,500,100,0,0.0,0.8,0.7853981633974483,False,False,True,True
0.0,1957.5471696953173,1141.8634058063465,500,200,0,0.0,0.8,0.7853981633974483,False,False,True,True
0.0,3137.6672495753155,2242.2200596116295,500,300,0,0.0,0.8,0.7853981633974483,False,False,True,True
0.0,4381.117264529167,3239.2334224547376,500,400,0,0.0,0.8,0.7853981633974483,False,False,True,True
0.0,5509.27029507875,3878.500413131939,500,500,0,0.0,0.8,0.7853981633974483,False,False,True,True
0.0,5582.180165220052,3852.6382992956374,500,500,0,0.0,0.8,0.7853981633974483,False,False,True,True
1121.949947372737,889.3916429997262,665.0813279937493,1000,100,0,104.4354164916574,0.8,0.7853981633974483,False,True,True,True
2219.1148823811814,1990.2548160644074,1313.3080621651798,1000,200,0,146.05812620575972,0.8,0.7853981633974483,False,True,True,True
5460.464403980423,4234.5466226834105,2839.147782495266,1000,400,0,518.982060809771,0.8,0.7853981633974483,False,True,True,True
