I,I_dm,I_sample,N,n,eps,error,lmbd,phi,Rough,Sampling,Derivative Method
7.8140895478012355,0,25.71864923869525,1,5,0,0.0,0.8,0.7853981633974483,False,True,False
510.62351950064334,0,97.78220317938894,1000,50,0,46.74416831534186,0.8,0.7853981633974483,False,True,False
1051.4587816760152,889.3616966501409,283.4784786576189,1000,100,0,82.79542316165029,0.8,0.7853981633974483,False,True,True
1320.4566825142294,0,294.8126244194192,1000,100,0,211.48533083361258,0.8,0.7853981633974483,False,True,False
1104.5605140895814,901.4717112267622,230.80048265599495,1000,100,0,112.91394949945418,0.8,0.7853981633974483,False,True,True
2436.307138556415,0,809.8086216964822,1000,200,0,274.4843743639233,0.8,0.7853981633974483,False,True,False
2088.9236222422373,2016.9188101812103,814.1374468030767,1000,200,0,148.0020457301995,0.8,0.7853981633974483,False,True,True
3028.0314569079105,0,1375.1148274172358,1000,300,0,171.0007022172547,0.8,0.7853981633974483,False,True,False
4564.73878568487,0,2127.4493675227172,1000,400,0,240.47503093635947,0.8,0.7853981633974483,False,True,False
6757.8771379569735,0,2565.7724070357576,1000,500,0,439.6768230725078,0.8,0.7853981633974483,False,True,False
