n,lambda,phi,absorber offset,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111,1100001,1100011,1100101,1100111,1101001,1101011,1101101,1101111,1110001,1110011,1110101,1110111,1111001,1111011,1111101,1111111
500000,0.8,0.7853981633974483,0.02,359,106,12,63,13,25,0,0,2,5,1,0,0,2,2,1,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,398,121,6,62,11,35,0,1,0,5,0,0,0,0,1,1,4,5,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0
500000,0.8,0.7853981633974483,0.02,394,116,2,66,8,29,3,0,1,2,0,0,1,0,1,3,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,364,107,5,70,9,36,0,0,3,4,0,0,1,3,1,0,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,417,106,2,70,10,34,1,0,1,4,0,0,0,1,4,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,382,95,4,77,8,30,3,0,0,7,0,0,0,6,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500000,0.8,0.7853981633974483,0.02,402,126,10,84,12,34,0,0,1,4,0,1,0,1,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,419,107,9,60,9,39,1,0,3,4,1,0,0,0,2,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
500000,0.8,0.7853981633974483,0.02,376,110,9,61,7,42,0,0,1,6,0,0,0,2,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,385,115,11,77,12,25,0,0,0,3,0,0,0,3,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
500000,0.8,0.7853981633974483,0.02,374,114,6,69,8,30,1,0,1,9,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500000,0.8,0.7853981633974483,0.02,391,109,3,63,11,36,3,1,0,6,0,0,0,2,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500000,0.8,0.7853981633974483,0.02,398,106,3,75,9,42,0,1,3,4,1,0,1,1,1,3,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,363,107,6,70,10,31,1,0,2,3,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
500000,0.8,0.7853981633974483,0.02,361,115,2,86,11,38,0,0,3,2,0,0,0,1,0,3,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,421,94,0,66,5,34,0,0,1,3,1,0,0,2,0,1,2,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
500000,0.8,0.7853981633974483,0.02,369,109,3,81,8,26,1,1,0,3,0,0,1,2,0,1,1,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,366,120,4,74,13,22,0,0,1,4,0,0,0,0,3,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,398,106,5,90,7,22,0,1,1,8,0,0,0,2,0,1,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
500000,0.8,0.7853981633974483,0.02,401,113,6,75,9,22,1,0,3,4,1,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
500000,0.8,0.7853981633974483,0.02,364,90,8,62,9,30,2,1,0,2,0,0,0,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
