n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01953019530195302,0.017270172701727187,540,169,5,105,20,11,0,67,0,0,0,0,2,4,5,1,0,2,0,0,0,4,3,1,0,2,2,8
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01930019300193002,0.01742017420174219,561,144,4,115,22,7,2,58,2,3,1,1,0,3,9,0,1,0,1,0,0,1,4,0,1,5,0,13
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01912019120191202,0.01753017530175319,567,161,8,93,23,9,2,57,5,0,2,2,1,3,7,0,2,1,0,0,0,2,4,2,0,1,2,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01936019360193602,0.01679016790167918,479,158,7,96,21,15,3,57,2,3,2,2,2,2,7,1,0,1,0,0,0,0,2,1,2,1,2,20
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018030180301803016,0.01607016070160717,510,159,5,103,22,7,3,46,3,0,0,0,4,0,6,0,3,1,0,0,0,1,4,1,3,1,1,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02081020810208102,0.018490184901849203,537,186,7,115,22,5,0,54,2,2,1,1,2,3,10,2,1,2,0,0,0,3,4,2,1,8,0,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.017730177301773016,0.015310153101531164,556,146,7,89,14,7,1,36,1,4,0,0,0,2,8,0,1,2,0,1,0,4,2,1,0,4,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01903019030190302,0.01681016810168118,526,143,9,105,22,15,1,48,5,1,2,2,2,4,8,0,0,0,1,0,0,2,3,2,1,5,1,11
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01883018830188302,0.01751017510175119,560,143,8,117,16,11,0,52,4,2,2,0,4,4,6,1,1,2,1,0,0,3,4,2,1,3,1,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01889018890188902,0.01664016640166418,533,162,7,107,13,14,2,48,4,5,1,0,4,3,4,2,1,1,0,0,0,4,2,3,0,1,0,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01974019740197402,0.01750017500175019,534,137,9,134,21,5,0,45,2,1,1,2,4,3,3,0,2,0,0,0,0,4,2,2,1,1,1,24
