n,lmbd,phi,eps,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0005829355869860314,0.0005637780794324997,68,19,1,17,1,7,0,0,0,1,0,0,0,1,0,0,0,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.000821036038008495,0.0007717738757279849,84,30,2,23,2,8,0,1,0,1,0,0,0,0,0,0,0,3
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.000602093094539563,0.0005829355869860309,74,13,3,9,1,13,0,1,0,2,0,0,0,0,0,0,1,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006595656172001576,0.0006486184700267108,73,21,2,20,1,7,0,0,0,1,0,0,0,0,1,0,0,3
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0007881945964881552,0.0007444060077943684,81,30,1,17,3,6,0,0,0,3,0,0,0,0,0,0,0,5
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.000665039190786881,0.0005884091605727546,81,21,0,21,1,4,0,0,1,0,0,0,0,0,0,0,0,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006431448964399878,0.0006075666681262858,76,19,2,13,2,6,0,1,0,4,0,0,0,1,0,0,0,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006048298813329246,0.0005391469982922446,72,25,2,9,2,6,0,0,1,0,0,0,0,1,0,1,0,0
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0007471427945877305,0.000599356307746201,72,19,2,11,4,7,0,0,1,0,0,0,0,2,0,0,0,3
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006787231247536891,0.0006568288304067957,78,27,3,18,2,5,0,0,0,0,0,0,0,0,0,2,0,2
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006759863379603275,0.0005938827341594778,74,21,2,18,3,4,1,0,0,0,0,0,0,0,1,0,1,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0005063055567719052,0.0004652537548714802,72,24,1,10,1,1,0,0,0,1,0,0,0,0,0,0,0,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0005665148662258615,0.0005336734247055215,71,20,2,19,3,1,0,0,0,1,0,0,0,0,0,1,0,0
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006540920436134344,0.0006020930945395629,68,21,1,20,0,5,0,0,0,1,0,0,0,0,0,1,0,3
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.000719774926654114,0.0006458816832333489,87,24,2,15,1,7,0,0,0,2,0,0,0,0,0,0,1,1
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006869334851337741,0.0006568288304067957,71,21,1,14,3,6,0,0,0,2,0,0,0,1,0,0,1,5
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006540920436134344,0.0006239873888864557,80,24,1,15,2,7,0,0,0,0,0,0,0,1,1,0,2,0
500000,0.8,0.7853981633974483,0.1,0.20023023023023023,0.010124194931475827,0.0006454005057520071,0.0006513552568200726,0.0005391469982922447,69,21,1,12,2,8,0,0,0,1,0,0,0,0,0,1,0,0
