n,lmbd,phi,eps,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007634034338529936,0.006464067390096262,169,47,5,21,3,15,1,0,0,0,0,0,0,0,0,1,1,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00690280499575887,0.006025329784433619,160,48,0,30,1,9,0,0,0,3,0,0,0,0,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008321389920734739,0.006975927930036011,163,40,4,33,8,16,1,0,0,0,0,0,0,0,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007955775249349206,0.006654187019216733,149,41,3,28,2,17,1,0,0,2,0,0,0,0,1,2,3,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007429290122554038,0.006493316563807107,145,62,1,27,10,9,0,0,1,0,0,0,0,2,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.0069613033431805554,0.0060838281318553,129,52,2,27,4,11,0,0,0,3,0,0,0,0,1,0,1,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.009271988066337125,0.00802889818362635,169,52,4,39,8,6,0,0,1,3,0,0,0,1,2,1,0,11
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008028898183626313,0.006741934540349259,158,32,2,33,1,17,0,0,0,3,0,0,0,2,0,0,2,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007853403141361256,0.006741934540349265,147,48,0,31,6,14,2,1,0,4,0,0,0,0,1,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008847875047529907,0.007502413056831172,168,43,0,29,3,16,0,0,0,4,0,0,0,3,0,2,0,9
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007253795080288982,0.006361695282108311,165,46,6,25,2,9,0,1,0,3,0,0,2,1,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007926526075638363,0.006932054169469744,151,48,4,30,4,16,1,0,0,1,0,0,0,0,0,3,0,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008906373394951593,0.007370791775132386,162,53,0,31,2,17,0,0,0,4,0,0,0,0,1,1,2,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008189768639035947,0.007122173798590222,141,50,2,34,5,17,0,1,0,2,0,0,0,0,1,0,3,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008511509549855217,0.007473163883120336,176,54,1,30,5,12,0,0,1,1,0,0,0,0,0,2,1,8
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00811664570475884,0.00674193454034927,161,47,3,43,4,8,1,0,0,2,0,0,0,1,1,0,1,0
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007253795080288982,0.0059083330895902415,147,44,1,24,1,12,0,0,0,2,0,0,0,1,0,0,1,4
