n,lmbd,phi,eps,theta_rough,offset,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.1999497487437186,0.0316227766016838,105,24,2,25,4,17,0,0,1,0,0,0,0,0,1,0,2,1
100000,0.8,0.7853981633974483,0.1,0.20326633165829144,0.0316227766016838,143,40,1,16,5,8,0,1,0,1,0,0,1,4,1,1,0,1
100000,0.8,0.7853981633974483,0.1,0.20115577889447236,0.0316227766016838,132,45,1,24,3,12,1,0,0,1,1,0,0,1,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.20266331658291456,0.0316227766016838,139,55,1,23,2,15,0,0,0,0,0,0,0,0,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20819095477386934,0.0316227766016838,205,66,2,30,3,11,1,0,0,2,0,0,1,2,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.19613065326633167,0.0316227766016838,90,32,1,18,4,10,0,0,1,0,0,0,0,0,1,1,0,0
100000,0.8,0.7853981633974483,0.1,0.20105527638190954,0.0316227766016838,110,47,0,26,7,11,1,0,0,3,0,0,0,0,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.19824120603015075,0.0316227766016838,114,21,1,19,2,10,1,0,0,1,0,0,0,0,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.19874371859296483,0.0316227766016838,109,43,2,18,4,14,0,0,2,1,0,0,0,1,0,0,2,2
100000,0.8,0.7853981633974483,0.1,0.20457286432160804,0.0316227766016838,166,44,2,35,4,14,0,0,0,6,0,0,0,1,0,1,1,3
100000,0.8,0.7853981633974483,0.1,0.20185929648241205,0.0316227766016838,129,46,0,21,2,8,1,0,0,3,2,0,1,1,0,1,1,2
100000,0.8,0.7853981633974483,0.1,0.20195979899497488,0.0316227766016838,117,35,1,33,5,11,1,0,0,0,0,0,0,0,1,0,1,4
100000,0.8,0.7853981633974483,0.1,0.19894472361809046,0.0316227766016838,112,32,3,18,5,10,0,1,0,0,1,0,0,0,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.2000502512562814,0.0316227766016838,119,29,3,15,1,9,2,0,0,0,0,0,0,0,0,0,1,4
100000,0.8,0.7853981633974483,0.1,0.19894472361809046,0.0316227766016838,111,45,2,22,7,16,0,0,0,2,0,0,0,1,1,0,0,4
100000,0.8,0.7853981633974483,0.1,0.2008542713567839,0.0316227766016838,123,34,1,18,2,16,2,0,0,1,0,0,0,0,0,1,2,1
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,135,30,3,16,1,12,0,0,0,2,0,0,0,0,1,1,0,7
100000,0.8,0.7853981633974483,0.1,0.19844221105527637,0.0316227766016838,127,30,0,20,5,11,0,0,1,1,0,0,0,2,1,0,0,5
100000,0.8,0.7853981633974483,0.1,0.2014572864321608,0.0316227766016838,141,53,3,27,2,18,0,0,0,1,0,0,0,1,1,1,0,2
100000,0.8,0.7853981633974483,0.1,0.19844221105527637,0.0316227766016838,120,40,0,20,1,10,0,0,0,2,0,0,0,0,2,1,0,2
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,115,31,1,20,3,7,3,0,1,3,0,0,0,0,1,2,1,7
100000,0.8,0.7853981633974483,0.1,0.19844221105527637,0.0316227766016838,114,34,3,25,3,11,0,0,0,2,0,0,0,0,0,2,1,3
100000,0.8,0.7853981633974483,0.1,0.20467336683417084,0.0316227766016838,163,53,3,40,3,12,0,0,1,0,0,0,0,1,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.19432160804020102,0.0316227766016838,94,26,1,18,1,7,0,0,0,0,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20517587939698492,0.0316227766016838,169,44,3,35,4,18,0,0,1,2,0,0,0,0,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,127,47,6,26,2,13,0,0,0,0,0,0,0,3,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.19653266331658292,0.0316227766016838,86,28,0,19,0,8,1,0,0,0,0,0,0,0,0,1,1,5
100000,0.8,0.7853981633974483,0.1,0.20266331658291456,0.0316227766016838,143,42,1,24,7,11,1,0,0,2,1,0,0,2,0,0,4,1
100000,0.8,0.7853981633974483,0.1,0.19874371859296483,0.0316227766016838,121,33,3,26,3,12,0,0,1,0,0,0,0,0,0,1,1,1
100000,0.8,0.7853981633974483,0.1,0.19974874371859297,0.0316227766016838,132,43,1,27,3,9,1,0,0,1,0,0,0,0,0,0,1,5
100000,0.8,0.7853981633974483,0.1,0.20155778894472362,0.0316227766016838,128,49,4,27,5,12,1,0,0,1,0,0,0,0,0,0,0,1
100000,0.8,0.7853981633974483,0.1,0.1978391959798995,0.0316227766016838,114,37,3,16,3,16,0,0,0,0,0,0,0,1,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19804020100502512,0.0316227766016838,111,23,1,23,3,5,1,0,0,1,0,0,0,0,0,1,1,5
100000,0.8,0.7853981633974483,0.1,0.19703517587939698,0.0316227766016838,100,35,1,22,6,11,0,0,0,1,0,0,0,1,0,0,1,4
100000,0.8,0.7853981633974483,0.1,0.1977386934673367,0.0316227766016838,98,27,1,28,2,7,0,0,0,1,0,0,0,0,1,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20296482412060302,0.0316227766016838,139,34,3,34,3,13,1,0,0,4,0,1,0,0,0,1,0,6
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,125,42,1,20,3,7,0,0,0,2,0,0,0,1,0,1,1,2
100000,0.8,0.7853981633974483,0.1,0.19894472361809046,0.0316227766016838,129,28,2,23,3,8,0,0,0,1,0,0,0,1,0,2,1,1
100000,0.8,0.7853981633974483,0.1,0.19834170854271357,0.0316227766016838,106,28,3,30,2,5,0,0,1,1,0,0,0,1,0,1,2,1
100000,0.8,0.7853981633974483,0.1,0.20025125628140703,0.0316227766016838,113,49,4,22,6,12,0,0,2,4,0,0,1,3,0,1,1,5
100000,0.8,0.7853981633974483,0.1,0.19824120603015075,0.0316227766016838,98,24,3,23,5,11,1,0,0,0,0,0,0,1,0,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20256281407035176,0.0316227766016838,149,46,1,32,4,15,0,0,0,3,0,0,0,1,2,1,1,3
100000,0.8,0.7853981633974483,0.1,0.20125628140703516,0.0316227766016838,133,43,1,27,5,15,0,0,1,1,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19924623115577889,0.0316227766016838,124,32,2,20,3,7,2,1,0,1,0,0,0,0,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.19924623115577889,0.0316227766016838,133,31,3,23,1,7,1,0,0,0,0,0,0,1,0,1,0,7
100000,0.8,0.7853981633974483,0.1,0.19603015075376884,0.0316227766016838,85,26,1,20,2,10,2,0,0,2,0,0,0,0,0,1,0,2
100000,0.8,0.7853981633974483,0.1,0.20125628140703516,0.0316227766016838,135,36,3,29,2,13,0,0,0,0,0,0,0,0,0,0,0,5
100000,0.8,0.7853981633974483,0.1,0.19673366834170855,0.0316227766016838,98,21,3,21,4,8,0,0,0,0,0,0,0,0,0,1,0,4
100000,0.8,0.7853981633974483,0.1,0.19603015075376884,0.0316227766016838,87,23,4,25,2,13,0,0,0,0,0,0,0,1,0,0,0,1
100000,0.8,0.7853981633974483,0.1,0.20095477386934674,0.0316227766016838,148,35,2,26,4,5,0,0,0,4,0,0,0,0,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.19673366834170855,0.0316227766016838,93,31,1,26,3,11,1,0,1,1,0,0,0,0,0,0,0,1
100000,0.8,0.7853981633974483,0.1,0.1941206030150754,0.0316227766016838,97,23,1,13,2,5,0,0,0,1,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19472361809045227,0.0316227766016838,91,26,1,17,3,13,0,0,1,0,0,0,0,0,0,0,0,1
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,114,37,1,23,2,5,1,0,0,2,0,0,0,2,0,0,0,2
